smiles,pIC50,docking_score
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(N2Cc3ccc(OC(C)C)cc3C2=O)n1,6.0,-9.69428
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C(C)(C)C)c3)c(C)cc2F)n1,8.25964,-10.39124
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1,6.506426666666667,-10.15646
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)N(C)CC(F)(F)F)C3)n1,6.0,-10.40529
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)N2CCCC2)C3)n1,6.0,-10.54824
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)OCc2ccccc2)C3)n1,6.0,-9.80713
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(S(=O)(=O)CCC(F)(F)F)C3)n1,6.0,-9.76408
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCNC3)n1,6.0,-9.98663
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)OC(C)(C)C)C3)n1,6.25964,-8.93736
CC(=O)OC[C@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1,8.25964,-10.03792
CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,4.82,-9.47203
CC(=O)c1c2c3c(ccc(C)c3[nH]c1=O)C(=O)c1ccccc1-2,4.457965,-8.97461
CC(=O)c1c2c3c(cccc3[nH]c1=O)C(=O)c1ccccc1-2,4.82391,-9.18968
CC(=O)c1cccc(-c2cc(NC(=O)c3ccc(C(C)(C)C)cc3)nc3ccnn23)c1,6.0,-9.00758
CC(=O)c1ccccc1-c1cc2c(s1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2,6.0,-9.8651
CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,6.188545,-7.87957
CC(C(=O)O)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,9.187086643357144,-7.73962
CC(C(=O)O)c1ccc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)C3)cc1,8.4437,-10.03902
CC(C)(C(=O)NCCc1nnn[nH]1)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,7.88606,-9.06189
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3c4c(ccc3n2)OCC4)cc1,7.45593,-8.23225
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,8.470936599761792,-8.74506
CC(C)(C(=O)O)c1cccc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C4CC4)n2)C3)c1,7.90309,-10.50158
CC(C)(C)C(=O)Nc1cccc(Nc2ncc3cc(Br)ccc3n2)c1,5.0,-8.76379
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5.0,-8.61462
CC(C)(C)OC(=O)NCc1cc(Oc2ccnc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c2)nc(C(F)(F)F)c1,6.18709,-9.81359
CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2nc3cccc(-c4ccoc4)n3n2)cc1,5.76955,-8.57578
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccc(C(N)=O)cc3)n3nccc3n2)cc1,7.0,-9.0911
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccc(S(C)(=O)=O)cc3)n3nccc3n2)cc1,6.0,-8.99719
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CC#N)c3)n3nccc3n2)cc1,7.0,-8.67763
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CCCO)c3)n3nccc3n2)cc1,7.0,-8.99057
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CCO)c3)n3nccc3n2)cc1,7.0,-9.19052
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CO)c3)n3nccc3n2)cc1,7.0,-8.85091
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCC(O)CC3)n3nccc3n2)cc1,7.0,-9.07161
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCC(C(N)=O)C3)n3nccc3n2)cc1,7.0,-8.9421
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCC(O)C3)n3nccc3n2)cc1,7.0,-8.62978
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCCC3CCO)n3nccc3n2)cc1,7.0,-8.46007
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCC[C@@H](O)C3)n3nccc3n2)cc1,7.0,-8.82047
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCOCC3)n3nccc3n2)cc1,7.0,-8.53482
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCc4ccccc4C3)n3nccc3n2)cc1,7.0,-9.36427
CC(C)(C)c1ccc(C(=O)Nc2cc(NC3CC3)n3nccc3n2)cc1,7.0,-7.46139
CC(C)(C)c1ccc(C(=O)Nc2cn3c(CO)cccc3n2)cc1,7.52288,-7.86775
CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,8.57293218523608,-8.94004
CC(C)(C)c1ccc(C(=O)Nc2cn3c4c(ccc3n2)OCC4)cn1,6.88606,-8.29665
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,7.8371415369040704,-9.8486
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,8.42833517631652,-9.4425
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccs4)ccc3n2)cc1,7.38722,-8.89956
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cn[nH]c4)ccc3n2)cc1,8.955792362636604,-8.67751
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,8.272159686320084,-8.77334
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,8.265760302203349,-8.53677
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1.Cl.Cl,7.85,-8.53809
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cn1,6.79588,-8.45071
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Br)ccc3n2)cc1,8.42833517631652,-7.81208
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(CO)ccc3n2)cc1,7.639557572425188,-7.71968
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,8.54691000433602,-7.31226
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(F)ccc3n2)cc1,8.218890270739436,-7.62761
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-c4cn[nH]c4)ccc3n2)cc1,7.46852,-8.63411
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-c4cnc[nH]4)ccc3n2)cc1,7.49485,-8.53647
CC(C)(C)c1ccc(C(=O)Nc2cn3nc(-n4ccnc4)ccc3n2)cc1,6.79588,-8.4963
CC(C)(C)c1ccc(C(=O)Nc2nc3ccc(-c4cn[nH]c4)nc3s2)cc1,7.0,-8.67329
CC(C)(C)c1ccc(C2C(=C(O)c3ccc4c(c3)OCCO4)C(=O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,8.602059991327963,-0.037
