smiles,pIC50
CC(=O)OC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)OC(C)(C)C)C3)n1,6.25964
CC(=O)OC[C@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1,8.25964
CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,4.82
CC(=O)c1c2c3c(ccc(C)c3[nH]c1=O)C(=O)c1ccccc1-2,4.457965
CC(=O)c1c2c3c(cccc3[nH]c1=O)C(=O)c1ccccc1-2,4.82391
CC(=O)c1cccc(-c2cc(NC(=O)c3ccc(C(C)(C)C)cc3)nc3ccnn23)c1,6.0
CC(=O)c1ccccc1-c1cc2c(s1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2,6.0
CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,6.188545
CC(C(=O)O)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,9.187086643357144
CC(C(=O)O)c1ccc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)C3)cc1,8.4437
CC(C)(C(=O)NCCc1nnn[nH]1)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,7.88606
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3c4c(ccc3n2)OCC4)cc1,7.45593
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,8.470936599761792
CC(C)(C(=O)O)c1cccc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C4CC4)n2)C3)c1,7.90309
CC(C)(C)C(=O)Nc1cccc(Nc2ncc3cc(Br)ccc3n2)c1,5.0
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5.0
CC(C)(C)OC(=O)NCc1cc(Oc2ccnc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c2)nc(C(F)(F)F)c1,6.18709
CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2nc3cccc(-c4ccoc4)n3n2)cc1,5.76955
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccc(C(N)=O)cc3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccc(S(C)(=O)=O)cc3)n3nccc3n2)cc1,6.0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CC#N)c3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CCCO)c3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CCO)c3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3cccc(CO)c3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCC(O)CC3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCC(C(N)=O)C3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCC(O)C3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCCCC3CCO)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCC[C@@H](O)C3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCOCC3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(N3CCc4ccccc4C3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cc(NC3CC3)n3nccc3n2)cc1,7.0
CC(C)(C)c1ccc(C(=O)Nc2cn3c(CO)cccc3n2)cc1,7.52288
CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,8.57293218523608
CC(C)(C)c1ccc(C(=O)Nc2cn3c4c(ccc3n2)OCC4)cn1,6.88606
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,7.8371415369040704
